SM,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
SM,5/24/2017,20.6,21.04,20.22,20.47,2561786,0,1,20.6,21.04,20.22,20.47,2561786
SM,5/25/2017,20.44,21.27,19.34,19.4,4311534,0,1,20.44,21.27,19.34,19.4,4311534
SM,5/26/2017,19.42,19.51,18.805,18.85,4114719,0,1,19.42,19.51,18.805,18.85,4114719
SM,5/30/2017,18.53,18.67,17.265,17.35,4669086,0,1,18.53,18.67,17.265,17.35,4669086
SM,5/31/2017,17.02,17.37,16.61,16.97,5987286,0,1,17.02,17.37,16.61,16.97,5987286
SM,6/1/2017,17.03,17.67,16.72,16.83,4468246,0,1,17.03,17.67,16.72,16.83,4468246
SM,6/2/2017,16.8,17.245,16.62,17.19,4882748,0,1,16.8,17.245,16.62,17.19,4882748
GPOR,5/24/2017,15.93,16.06,15.32,15.47,3126422,0,1,15.93,16.06,15.32,15.47,3126422
GPOR,5/25/2017,15.46,15.89,14.87,15.1,4436002,0,1,15.46,15.89,14.87,15.1,4436002
GPOR,5/26/2017,15.12,15.31,15.02,15.2,2024077,0,1,15.12,15.31,15.02,15.2,2024077
GPOR,5/30/2017,15.02,15.02,14.21,14.21,5594831,0,1,15.02,15.02,14.21,14.21,5594831
GPOR,5/31/2017,14.09,14.37,13.77,14.35,5291559,0,1,14.09,14.37,13.77,14.35,5291559
GPOR,6/1/2017,14.39,14.5,14.09,14.14,3203131,0,1,14.39,14.5,14.09,14.14,3203131
GPOR,6/2/2017,14.05,14.14,13.3,13.39,4930615,0,1,14.05,14.14,13.3,13.39,4930615
DDD,5/24/2017,22.45,22.77,22.35,22.55,1787497,0,1,22.45,22.77,22.35,22.55,1787497
DDD,5/25/2017,22.6,23.19,22.56,22.57,2379624,0,1,22.6,23.19,22.56,22.57,2379624
DDD,5/26/2017,22.48,22.515,21.9,22.03,2627960,0,1,22.48,22.515,21.9,22.03,2627960
DDD,5/30/2017,22.03,22.03,20.49,20.62,4714466,0,1,22.03,22.03,20.49,20.62,4714466
DDD,5/31/2017,20.57,20.85,19.56,20.45,5349124,0,1,20.57,20.85,19.56,20.45,5349124
DDD,6/1/2017,20.55,20.85,20.32,20.67,2451313,0,1,20.55,20.85,20.32,20.67,2451313
DDD,6/2/2017,20.8,20.92,20.46,20.68,1582585,0,1,20.8,20.92,20.46,20.68,1582585
WPX,5/24/2017,12.33,12.46,12.03,12.14,6961789,0,1,12.33,12.46,12.03,12.14,6961789
WPX,5/25/2017,12.04,12.43,11.57,11.69,8147221,0,1,12.04,12.43,11.57,11.69,8147221
WPX,5/26/2017,11.72,11.77,11.41,11.76,7723415,0,1,11.72,11.77,11.41,11.76,7723415
WPX,5/30/2017,11.61,11.61,11.05,11.08,8778910,0,1,11.61,11.61,11.05,11.08,8778910
WPX,5/31/2017,10.88,10.955,10.5,10.82,11628490,0,1,10.88,10.955,10.5,10.82,11628490
WPX,6/1/2017,10.9,11.23,10.8,11,5295716,0,1,10.9,11.23,10.8,11,5295716
WPX,6/2/2017,10.85,11.02,10.675,11,8598783,0,1,10.85,11.02,10.675,11,8598783
SPN,5/24/2017,12.08,12.225,11.87,12.07,2652938,0,1,12.08,12.225,11.87,12.07,2652938
SPN,5/25/2017,11.98,12.23,10.75,10.76,6163805,0,1,11.98,12.23,10.75,10.76,6163805
SPN,5/26/2017,10.78,11.05,10.68,10.91,4167602,0,1,10.78,11.05,10.68,10.91,4167602
SPN,5/30/2017,10.77,10.785,10.375,10.4,5425771,0,1,10.77,10.785,10.375,10.4,5425771
SPN,5/31/2017,10.13,10.45,10.12,10.37,5142867,0,1,10.13,10.45,10.12,10.37,5142867
SPN,6/1/2017,10.44,10.6,10.18,10.28,6046532,0,1,10.44,10.6,10.18,10.28,6046532
,,,,,,,,,,,,,
